Image Name,Dominant Colors
678bef0d2b062e33e2ae8c0e.png,"#abe77f (2.0%), #2a2f67 (2.7%), #3e448d (6.1%), #cfcdd4 (9.3%), #85b33f (13.3%), #3e3f57 (2.6%), #2a2b30 (34.7%), #202020 (2.3%), #2c2d2f (17.0%)"
678bef0d2b062e33e2ae8c0f.png,"#aee780 (2.2%), #cbcad0 (10.8%), #83b041 (12.1%), #33377c (8.3%), #2a2a2f (36.0%), #2a2b2c (20.7%)"
678bef0d2b062e33e2ae8c10.png,"#2d3134 (2.3%), #2a292e (13.5%), #cbced1 (75.1%)"
678bef0d2b062e33e2ae8c11.png,"#252529 (2.4%), #303130 (4.0%), #262628 (6.8%), #c9cbcd (82.9%)"
678bef0d2b062e33e2ae8c12.png,"#292526 (3.2%), #ae9c89 (26.3%), #c28787 (63.8%)"
678bef0d2b062e33e2ae8c13.png,"#b09a7b (22.9%), #aeac5f (2.5%), #9daead (47.3%), #4b6a71 (2.1%), #455b63 (2.1%), #333f4f (8.0%)"
678bef0d2b062e33e2ae8c15.png,"#d3d1cd (88.6%), #222023 (3.9%), #252329 (2.9%)"
678bef0d2b062e33e2ae8c16.png,"#fafafa (2.4%), #2c2c2d (50.8%), #2e2e32 (42.8%)"
678bef0d2b062e33e2ae8c17.png,"#46453a (2.1%), #353435 (3.8%), #3c3d43 (18.2%), #c7c6c6 (71.1%)"
678bef0d2b062e33e2ae8c18.png,"#f5f5f4 (3.9%), #3a4f61 (3.1%), #546778 (3.2%), #748493 (10.7%), #bd93ac (2.7%), #e5b6d1 (5.8%), #27273a (2.0%), #443e60 (2.2%), #333554 (4.2%), #302c32 (7.5%), #40353e (4.4%), #313031 (15.5%), #826b7a (2.5%), #6a5864 (3.5%)"
678bef0d2b062e33e2ae8c19.png,"#4f4e43 (3.5%), #343433 (3.2%), #c5c5c4 (69.8%), #3c3c42 (20.1%)"
678bef0d2b062e33e2ae8c1a.png,"#ac8957 (2.2%), #302c2b (3.3%), #35312e (2.2%), #63b0b9 (2.1%), #ddd9bd (3.3%), #d5d3c9 (74.3%)"
678bef0d2b062e33e2ae8c1b.png,"#ddddde (35.0%), #2f70c6 (9.1%), #f19c5c (2.0%), #2e2d32 (15.1%), #211f22 (7.0%), #282829 (16.5%)"
678bef0d2b062e33e2ae8c1c.png,"#252525 (2.1%), #2b292a (2.9%), #d0cbc2 (88.4%)"
678bef0d2b062e33e2ae8c1d.png,"#252525 (4.0%), #857e72 (2.4%), #d4d1cb (78.1%), #a0917a (5.2%), #c6b9a2 (4.7%)"
678bef0d2b062e33e2ae8c1e.png,"#2aa277 (2.9%), #d4834f (16.0%), #366cbc (9.5%), #dcdbde (33.4%), #2c2c31 (15.0%), #201e21 (4.6%), #2a2a2b (9.3%)"
678bef0d2b062e33e2ae8c20.png,"#cdc5bb (65.3%), #9d6c3d (30.0%)"
678bef0d2b062e33e2ae8c22.png,#d2d3d2 (97.5%)
678bef0d2b062e33e2ae8c24.png,"#cfcdd1 (82.3%), #9b3d46 (9.7%), #5c1f24 (2.2%)"
678bef0d2b062e33e2ae8c25.png,"#d6d6d6 (80.4%), #026744 (18.3%)"
678bef0d2b062e33e2ae8c26.png,#3f403f (97.2%)
678bef0d2b062e33e2ae8c27.png,#d2d2d1 (99.1%)
678bef0d2b062e33e2ae8c28.png,"#232228 (37.6%), #25222a (2.2%), #2e2e2f (55.5%)"
678bef0d2b062e33e2ae8c29.png,"#075fa3 (18.3%), #cdcdd3 (80.9%)"
678bef0d2b062e33e2ae8c2a.png,"#272727 (3.8%), #e6e6e6 (95.8%)"
678bef0d2b062e33e2ae8c2b.png,"#f5f5f4 (2.3%), #3f3f3f (97.7%)"
678bef0d2b062e33e2ae8c2e.png,#cbcccf (99.0%)
678bef0d2b062e33e2ae8c2f.png,"#222222 (6.2%), #e6e6e6 (93.1%)"
678bef0d2b062e33e2ae8c30.png,"#dedde1 (83.5%), #d0a3bb (3.8%), #e4adc5 (8.3%)"
678bef0d2b062e33e2ae8c31.png,"#dadbdb (79.4%), #316c4e (18.6%)"
678bef0d2b062e33e2ae8c32.png,"#3e3d40 (33.9%), #2c2a30 (65.4%)"
678bef0d2b062e33e2ae8c33.png,"#d48706 (21.1%), #c6c6c6 (77.6%)"
678bef0d2b062e33e2ae8c34.png,"#2e2e2e (7.7%), #e3e3e5 (90.7%)"
678bef0d2b062e33e2ae8c35.png,"#c9c9cf (52.3%), #323237 (9.6%), #1f1d20 (4.5%), #262628 (31.5%)"
678bef0d2b062e33e2ae8c36.png,"#1f2531 (4.1%), #d1cec9 (91.7%)"
678bef0d2b062e33e2ae8c37.png,"#ce840c (18.7%), #c7c7c9 (78.7%)"
678bef0d2b062e33e2ae8c38.png,"#972119 (18.3%), #c7c5c9 (79.8%)"
678bef0d2b062e33e2ae8c39.png,"#243146 (17.6%), #d1d1d5 (81.1%)"
678bef0d2b062e33e2ae8c3a.png,"#432026 (3.7%), #4c2e30 (2.3%), #c8bca4 (6.5%), #ccc8bb (40.3%), #8d5836 (38.0%)"
678bef0d2b062e33e2ae8c3b.png,"#cecdd5 (77.5%), #db4c1f (20.5%)"
